row,count,max_version
0,792,174
1,286,176
2,981,183
3,759,181
4,797,183
5,257,178
6,521,180
7,217,181
8,521,182
9,207,183
10,530,184
11,7,181
12,311,182
13,7,183
14,311,184
15,7,185
16,311,186
17,7,187
18,311,188
19,7,189
20,311,190
21,7,191
22,311,192
23,7,193
24,311,194
25,7,195
26,311,196
27,324,198
28,679,199
29,373,200
30,677,201
31,377,202
32,682,203
33,281,204
34,525,204
35,388,206
36,585,206
37,388,207
38,585,208
39,388,209
40,585,210
41,388,211
42,585,212
43,388,213
44,585,214
45,388,215
46,585,216
47,388,217
48,585,218
49,370,219
50,428,220
51,13,221
52,313,219
53,9,220
54,313,221
55,9,222
56,313,223
57,9,224
58,313,225
59,9,226
60,313,227
61,9,228
62,313,229
63,9,230
64,313,231
65,9,232
66,313,233
67,9,234
68,313,235
69,9,236
70,313,237
71,9,238
72,313,239
73,9,240
74,313,241
75,9,242
76,313,243
77,9,244
78,13360,255
